State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
MD,Maryland,Male,59,114,Master's degree,5002,192099,"Physical Scientists, All Other",124305,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Male,26,101,Bachelor's degree,2102,151252,Software Developers,129818,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,36,116,Doctoral degree,5007,192099,"Physical Scientists, All Other",138357,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Female,30,116,Doctoral degree,6203,111021,General And Operations Managers,129709,90520.0,1.46,33.81,60.77,126410.0
MD,Maryland,Female,54,114,Master's degree,2106,152031,Operations Research Analysts,185701,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Male,52,101,Bachelor's degree,2102,112022,Sales Managers,668004,9230.0,0.91,3.449,68.3,142070.0
MD,Maryland,Male,28,101,Bachelor's degree,1401,151251,Computer Programmers,418000,2980.0,1.41,1.115,52.65,109520.0
MD,Maryland,Male,28,101,Bachelor's degree,1401,151251,Computer Programmers,418000,2980.0,1.41,1.115,52.65,109520.0
MD,Maryland,Male,32,114,Master's degree,5506,152031,Operations Research Analysts,154000,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Male,50,101,Bachelor's degree,5404,113021,Computer And Information Systems Managers,223000,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Female,38,114,Master's degree,6110,132031,Budget Analysts,150000,2440.0,2.93,0.912,51.02,106130.0
MD,Maryland,Male,24,101,Bachelor's degree,2400,172051,Civil Engineers,100000,4840.0,0.84,1.807,48.1,100040.0
MD,Maryland,Male,40,114,Master's degree,3605,152031,Operations Research Analysts,120000,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Female,38,101,Bachelor's degree,2304,112022,Sales Managers,220000,9230.0,0.91,3.449,68.3,142070.0
MD,Maryland,Male,26,101,Bachelor's degree,2407,192099,"Physical Scientists, All Other",116000,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Female,36,114,Master's degree,3701,291151,Nurse Anesthetists,300000,560.0,0.67,0.21,90.11,187420.0
MD,Maryland,Male,46,101,Bachelor's degree,5301,333021,Detectives And Criminal Investigators,127000,980.0,0.52,0.365,57.65,119900.0
MD,Maryland,Female,62,114,Master's degree,6203,152031,Operations Research Analysts,163600,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Male,42,101,Bachelor's degree,2408,131199,"Business Operations Specialists, All Other",106000,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Female,58,114,Master's degree,2408,151252,Software Developers,186000,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,33,101,Bachelor's degree,6103,119111,Medical And Health Services Managers,108400,14770.0,1.63,5.517,72.4,150590.0
